seam,density_hi,mass_pct,ash_pct
4A,1.3,30,8
4A,1.325,14,10
4A,1.35,11,12
4A,1.375,9,14
4A,1.4,7,17
4A,1.425,6,20
4A,1.45,5,23
4A,1.5,4,28
4A,1.6,4,36
4A,1.7,3,45
4A,1.8,2,55
4A,2.0,2,63
4A,2.2,1.5,73
4A,sink,1.5,83
0C,1.3,20,9
0C,1.325,12,11
0C,1.35,11,13
0C,1.375,9,16
0C,1.4,8,19
0C,1.425,8,22
0C,1.45,7,25
0C,1.5,6,30
0C,1.6,5,38
0C,1.7,3,47
0C,1.8,3,57
0C,2.0,3,64
0C,2.2,2.5,74
0C,sink,2.5,84
6B,1.3,10,10
6B,1.325,7,13
6B,1.35,8,15
6B,1.375,9,18
6B,1.4,10,21
6B,1.425,10,24
6B,1.45,9,27
6B,1.5,8,32
6B,1.6,7,40
6B,1.7,4,49
6B,1.8,3,59
6B,2.0,3,65
6B,2.2,4,75
6B,sink,8,85
