№,Хариуцагч,Хэсэг,Юу асуух (тодорхой),Нэгж / формат,ТЭЗҮ дизайн (лавлагаа),Ач холбогдол,ҮЙЛДВЭРИЙН ХАРИУ
1,Процесс инженер,§6,Primary ХСЦ-ийн density gauge дээр уншигдах БОДИТ ажлын орчны нягт (хамгийн бага / хэвийн / хамгийн их),g/cm³,cut 1.40-1.45 (орчны нягт биш),ЭГЗЭГТЭЙ,
2,Процесс инженер,§6,Secondary ХСЦ-ийн БОДИТ ажлын орчны нягт (min/хэвийн/max),g/cm³,cut ~1.80,ЭГЗЭГТЭЙ,
3,Процесс инженер,§6,"Нягтыг хаана, ямар багажаар хэмждэг (γ-gauge / U-tube / dP)? ТЭЗҮ-д насосны гаралт дээр гэсэн — баталгаажуулна",Текст,насосны гаралт дээр ус нэмж хянадаг,Өндөр,
4,Процесс инженер,§11,Коксжих нүүрсний ОДООГИЙН бодит зорилтот үнс%,%,дизайн ~9-10.5%,ЭГЗЭГТЭЙ,
5,Процесс инженер,§11,Эрчим хүчний нүүрсний бодит зорилт (үнс% эсвэл илчлэг),% эсвэл ккал/кг,дизайн 5525-7410 ккал/кг,Өндөр,
6,Процесс инженер,§5,"ХСЦ-д орох дээд ширхэг 50 мм уу 60 мм уу? (Doc 03=50, ТЭЗҮ=60 — зөрүүтэй)",мм,ТЭЗҮ: 1.2-60 мм,Дунд,
7,Процесс инженер,§12,Seam (давхрага) бүрийн raw float-sink (washability) хүснэгт — тусдаа 05b загвараар,Хүснэгт,"ТЭЗҮ-д LIMN муруй бий, raw хүснэгт алга",ЭГЗЭГТЭЙ,
8,Автоматчлал инженер,§9,Primary ХСЦ feed pump VSD (хувьсах хурд)-тэй эсэх + ажлын rpm хүрээ. (Үйлдвэрт VSD сүлжээ бий нь батлагдсан),Тийм/Үгүй + rpm,VSD сүлжээ бий; pump=Krebs 500кВт,ЭГЗЭГТЭЙ,
9,Автоматчлал инженер,§9,Secondary ХСЦ feed pump VSD-тэй эсэх + rpm хүрээ,Тийм/Үгүй + rpm,Krebs 450кВт,ЭГЗЭГТЭЙ,
10,Автоматчлал инженер,§10,PLC-ийн брэнд ба загвар (Siemens / Allen-Bradley / Schneider г.м.),Текст,"ТЭЗҮ: PLC+SCADA бий, брэнд нэрлээгүй",ЭГЗЭГТЭЙ,
11,Автоматчлал инженер,§10,OPC UA сервер байгаа юу? Үгүй бол SCADA/historian-аас унших боломж?,Тийм/Үгүй + тайлбар,"Ethernet TCP-IP, эзэмшигчийн SCADA",ЭГЗЭГТЭЙ,
12,Автоматчлал инженер,§10,"Гол PLC tag-ийн НЭРС: орчны нягт(P/S), циклон даралт(P/S), feed flow, pump speed(P/S), pump мотор гүйдэл, зумп түвшин, mag.sep гүйдэл, туузан жин, online ash analyzer (байвал)",tag нэрсийн жагсаалт,4-20mA аналог сигналууд,ЭГЗЭГТЭЙ,
13,Засвар инженер,§13,Тоног төхөөрөмжийн БОДИТ элэгдлийн хугацаа: vortex finder / spigot / насосны impeller / циклоны конус (alumina),цаг тус бүрээр,ажиллагааны түүхээс,Дунд,
14,Худалдаа / Менежмент,§11,"Коксжих ба эрчим хүчний нүүрсний одоогийн гэрээний бүтэц (үнс/илчлэгийн penalty-bonus, татгалзах хязгаар)",Тайлбар,ажиллагааны өгөгдөл,Дунд,
15,Худалдаа / Хангамж,§7,Магнетитийн нийлүүлэгч ба хүргэгдсэн үнэ ($/тонн),Текст + $/т,ТЭЗҮ-нд алга,Бага,
