seam,size_fraction,density_lo,density_hi,mass_g,ash_ad,moisture_ad
4AU,-50+0.25,,1.30,,,
4AU,-50+0.25,1.30,1.325,,,
4AU,-50+0.25,1.325,1.35,,,
4AU,-50+0.25,1.35,1.375,,,
4AU,-50+0.25,1.375,1.40,,,
4AU,-50+0.25,1.40,1.425,,,
4AU,-50+0.25,1.425,1.45,,,
4AU,-50+0.25,1.45,1.50,,,
4AU,-50+0.25,1.50,1.60,,,
4AU,-50+0.25,1.60,1.70,,,
4AU,-50+0.25,1.70,1.80,,,
4AU,-50+0.25,1.80,2.00,,,
4AU,-50+0.25,2.00,2.20,,,
4AU,-50+0.25,2.20,sink,,,
SEAM2,-50+0.25,,1.30,,,
SEAM2,-50+0.25,1.30,1.325,,,
SEAM2,-50+0.25,1.325,1.35,,,
SEAM2,-50+0.25,1.35,1.375,,,
SEAM2,-50+0.25,1.375,1.40,,,
SEAM2,-50+0.25,1.40,1.425,,,
SEAM2,-50+0.25,1.425,1.45,,,
SEAM2,-50+0.25,1.45,1.50,,,
SEAM2,-50+0.25,1.50,1.60,,,
SEAM2,-50+0.25,1.60,1.70,,,
SEAM2,-50+0.25,1.70,1.80,,,
SEAM2,-50+0.25,1.80,2.00,,,
SEAM2,-50+0.25,2.00,2.20,,,
SEAM2,-50+0.25,2.20,sink,,,
