Заавар:,"Нүүрсний seam (давхрага) тус бүрт ЭНЭ ХҮСНЭГТИЙГ ТУС ТУСАД НЬ бөглөнө. Нягтын фракц бүрийн жингийн хувь ба үнслэгийг лабораторийн sink-float тестээс шууд бичнэ. Жингийн хувь нийлбэр = 100%.",,,
,,,,
Seam / давхрагын нэр:,[ЭНД БИЧНЭ — жишээ нь Seam-A],,,
Дээж авсан огноо:,[YYYY-MM-DD],,,
Нүүрсний төрөл:,[коксжих / эрчим хүчний],,,
,,,,
Нягтын фракц,Нягтын хязгаар (g/cm³),Жингийн хувь (Mass %),Үнслэг (Ash %),Тэмдэглэл
Хөвөгч (float),< 1.30,,,
Фракц 1,1.30 - 1.40,,,
Фракц 2,1.40 - 1.50,,,
Фракц 3,1.50 - 1.60,,,
Фракц 4,1.60 - 1.80,,,
Фракц 5,1.80 - 2.00,,,
Живэгч (sink),> 2.00,,,
НИЙТ,,100.0,,"Жингийн хувь нийлбэр 100% байх ёстой"
,,,,
Жич:,"Нягтын алхмыг (1.30, 1.40 г.м.) лабын тайлантай яг адил болго. Алхам өөр бол мөрүүдийг тааруулж засна. NDM (±0.1 ойролцоо нягт) болон cut-density энэ өгөгдлөөс автоматаар тооцоологдоно.",,,
